Organism	CAI
Apilactobacillus kunkeei	1.0
Apilactobacillus bombintestini	0.935
Apilactobacillus apinorum	0.971
Bombilactobacillus folatiphilus	1.203
Bombilactobacillus thymidiniphilus	1.171
